countryterritoryCode;countriesAndTerritories;CasosCovid;MuertesCovid;Poblacion_2019;TasaMortalidadCovid;GastoSalud_PIB;Doctores;MortalidadAdultos_Precovid
KOR;South_Korea;43484;587;51225321;1,1;6,6;22,0;67,8
KWT;Kuwait;146218;911;4207077;21,7;3,6;25,3;79,1
LAO;Laos;41;0;7169456;0,0;2,4;3,7;205,4
LBN;Lebanon;146520;1200;6855709;17,5;7,9;21,9;98,2
LBR;Liberia;1676;83;4937374;1,7;8,8;0,3;252,1
LBY;Libya;90779;1299;6777453;19,2;4,8;20,1;138,1
LCA;Saint_Lucia;275;4;182795;2,2;5,1;17,6;149,6
LKA;Sri_Lanka;32790;152;21323734;0,7;3,8;8,7;131,5
LSO;Lesotho;2250;44;2125267;2,1;8,6;0,7;488,6
LTU;Lithuania;95021;825;2794184;29,5;6,5;45,2;174,2
LUX;Luxembourg;41272;396;613894;64,5;5,6;28,6;59,2
LVA;Latvia;25675;349;1919968;18,2;5,8;31,6;163,4
MDA;Moldova;126518;2572;4043258;63,6;8,4;25,5;184,9
MDG;Madagascar;17638;258;26969306;1,0;5,1;1,6;230,5
MDV;Maldives;13368;48;530957;9,0;8,7;16,7;59,5
MEX;Mexico;1250044;113953;127575529;89,3;5,7;44,6;130,0
MKD;North_Macedonia;73638;2121;2077132;102,1;6,5;27,7;99,4
MLI;Mali;5814;194;19658023;1,0;4,1;1,2;280,0
MLT;Malta;11101;166;493559;33,6;8,9;24,5;56,0
MMR;Myanmar;108342;2268;54045422;4,2;3,8;6,5;204,7
MNE;Montenegro;41426;582;622182;93,5;8,4;22,2;105,2
MNG;Mongolia;912;0;3225166;0,0;4,0;31,1;219,4
MOZ;Mozambique;16954;142;30366043;0,5;6,8;0,7;387,3
MRT;Mauritania;10780;222;4525698;4,9;4,0;1,7;207,3
MUS;Mauritius;515;10;1269670;0,8;5,1;18,5;150,0
MWI;Malawi;6066;187;18628749;1,0;9,2;0,3;306,9
MYS;Malaysia;83475;415;31949789;1,3;3,6;13,3;126,7
NAM;Namibia;16536;160;2494524;6,4;8,9;5,9;301,2
NER;Niger;2258;80;23310719;0,3;6,6;0,4;260,1
NGA;Nigeria;73175;1197;200963603;0,6;3,5;4,0;366,1
NIC;Nicaragua;5887;162;6545503;2,5;7,9;9,7;153,5
NLD;Netherlands;612746;10034;17282163;58,1;10,3;33,8;61,1
NOR;Norway;40022;387;5328212;7,3;9,5;44,5;59,3
NPL;Nepal;248423;1698;28608715;5,9;5,6;7,1;165,9
NZL;New_Zealand;1740;25;4783062;0,5;9,4;29,4;68,2
OMN;Oman;126240;1471;4974992;29,6;3,4;20,0;96,4
